# loc (location id), x (in meter), y (in meter)
99.2.3, 508, -250
99.2.2, 512, -253
99.2.1, 429, -297
99.1.1, 510, -269
100.5.1, 119, 5
100.3.1, 114, 4
100.2.1, 127, 7
100.1.1, 119, 4
167.1.1, 194, -75
167.1.2, 210, -84
167.1.3, 212, -98
167.2.1, 192, -77
167.2.2, 209, -75
167.2.3, 214, -92
167.3.1, 192, -77
167.3.2, 209, -78
167.3.3, 215, -93
167.4.1, 192, -77
167.4.2, 208, -73
167.4.3, 213, -92
167.5.1, 192, -78
167.5.2, 212, -77
167.5.3, 216, -94
106.1.1, 625, -25
170.4.1, -191, 354
170.3.1, -199, 348
170.4.2, -207, 351
170.3.2, -206, 359
171.1.1, -208, 294
171.3.1, -194, 293
171.4.1, -203, 297
173.3.1, -290, 378
173.2.1, -279, 380
173.1.1, -275, 385
177.4.1, -344, 404
177.3.1, -335, 400
177.2.1, -346, 405
178.3.1, -380, 415
178.1.1, -381, 412
108.1.1, 32, 125
108.2.1, 34, 109
108.4.4, 28, 135
108.4.2, 44, 124
108.4.1, 19, 124
108.6.1, 32, 121
109.4.1, 117, 83
109.3.2, 113, 88
109.3.1, 129, 86
109.2.1, 119, 80
109.1.1, 124, 81
179.1.1, -444, -332
179.3.1, -452, -334
180.4.1, -215, -133
180.3.1, -205, -127
180.1.1, -210, -127
181.1.1, 99, 186
181.2.1, 91, 188
181.2.2, 107, 187
181.3.1, 90, 187
181.3.2, 107, 185
181.4.1, 91, 187
181.4.2, 107, 185
181.5.1, 91, 188
181.5.2, 108, 187
182.6.3, -562, 173
182.6.2, -588, 176
182.6.1, -590, 193
182.5.3, -561, 166
182.5.2, -588, 176
182.5.1, -595, 186
182.4.4, -577, 175
182.4.3, -588, 176
182.4.2, -554, 172
182.4.1, -594, 192
182.3.3, -588, 176
182.3.2, -561, 175
182.3.1, -593, 192
182.2.2, -565, 175
182.2.1, -587, 178
111.1.4, 82, -119
111.1.3, 92, -117
111.1.2, 91, -105
111.1.1, 92, -124
111.3.1, 87, -115
202.4.2, -422, 230
202.4.1, -428, 244
202.3.1, -422, 237
202.2.2, -426, 241
202.2.1, -425, 228
202.1.2, -428, 237
202.1.1, -423, 238
183.1.1, 371, 115
183.2.1, 379, 123
183.3.1, 379, 122
183.4.1, 372, 117
183.4.2, 388, 113
183.5.1, 379, 123
